n-g01-t01,1.1915879756076524
n-g01-t02,1.155101415062661
n-g01-t03,1.0069355802947664
n-g02-t01,1.6436940105504643
n-g02-t02, 
n-g02-t03,1.59059311534158
n-g03-t01,1.3868101095672287
n-g03-t02, 
n-g03-t03,1.4718807652245873
n-g04-t01,1.079622587749696
n-g04-t02,1.1017865407793481
n-g04-t03,1.2388276078538296
n-g05-t01,1.6074645772746654
n-g05-t02,1.4768916989943133
n-g05-t03,1.4136870399362877
n-g06-t01,1.5907369974417978
n-g06-t02,1.45453290083003
n-g06-t03,1.6678718337802656
n-g07-t01, 
n-g07-t02, 
n-g07-t03,1.2585171498852377
n-g08-t01,1.1030495091845145
n-g08-t02,1.2347535969782135
n-g08-t03,1.2435044854278254
n-g11-t01,1.1670540758108487
n-g11-t02,1.2846308911862967
n-g11-t03,1.3125031993967702
n-g12-t01,0.8550747520451861
n-g12-t02,1.471998604895814
n-g12-t03,1.4100316242362603
n-g13-t01,1.2465782540907746
n-g13-t02,1.2473450933403052
n-g13-t03,1.391171659333812
n-g14-t01, 
n-g14-t02, 
n-g14-t03,0.8963755016877644
n-g15-t01,1.205899076248827
n-g15-t02,1.2996807416252059
n-g15-t03,1.2899023396935214
n-g16-t01, 
n-g16-t02,1.2515823620958206
n-g16-t03,1.1579303937261398
n-g17-t01, 
n-g17-t02, 
n-g17-t03,1.2819604788613912
n-g18-t01,1.3592080742977737
n-g18-t02,1.4564507151317785
n-g18-t03,1.5937035736007141
n-g19-t01,1.2963798629585064
n-g19-t02, 
n-g19-t03,1.4632024059667597
n-g20-t01,1.1603097849595516
n-g20-t02, 
n-g20-t03,1.2042889873121148
n-g21-t01, 
n-g21-t02, 
n-g21-t03,1.2148069493701374
n-g22-t01, 
n-g22-t02,1.3471636885396032
n-g22-t03,1.3222804542024333
n-g23-t01,0.9348156646249135
n-g23-t02,1.169379852122587
n-g23-t03,1.2829117540929065
n-g24-t01,1.259289782646808
n-g24-t02, 
n-g24-t03,1.671310834331046
n-g25-t01,1.0964416963876895
n-g25-t02, 
n-g25-t03,1.3856354833015052
n-g26-t01,1.1753794008812657
n-g26-t02,1.497495685383261
n-g26-t03,1.5255087608709226
n-g27-t01,0.9575933310933394
n-g27-t02,1.2910389790384051
n-g27-t03,1.342496548632872
n-g28-t01,1.3255435826491648
n-g28-t02,1.3209699650384128
n-g28-t03,1.5512685165503417
n-g29-t01,1.2217870312235528
n-g29-t02,1.380549479394469
n-g29-t03,1.4525282088386904
n-g30-t01,1.4300088756279465
n-g30-t02,1.4108715063217478
n-g30-t03,1.2731027392493939




